source,message_type,incoming_message,order_book_str,seconds_into_session,total_cancellations,total_buy_orders,total_sell_orders,num_trades,total_volume,avg_price,avg_spread,avg_midpoint,order_book_imbalance,avg_trade_size,trade_frequency,order_fill_rate,cancellation_rate,price_volatility
BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1","{""bids"": [{""x"": 2000.0, ""y"": 3.0}, {""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2004.0, ""y"": 2.0}]}",0.92,0,17,2,0,,,,,0.79,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1","{""bids"": [{""x"": 2000.0, ""y"": 3.0}, {""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2003.0, ""y"": 1.0}, {""x"": 2004.0, ""y"": 2.0}]}",0.97,0,17,3,0,,,3.67,2001.83,0.7,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1","{""bids"": [{""x"": 2000.0, ""y"": 3.0}, {""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2003.0, ""y"": 2.0}, {""x"": 2004.0, ""y"": 2.0}]}",1.02,0,17,4,0,,,3.33,2001.67,0.62,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1","{""bids"": [{""x"": 2000.0, ""y"": 1.0}, {""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2003.0, ""y"": 2.0}, {""x"": 2004.0, ""y"": 3.0}]}",1.1,0,17,5,0,2000.0,2000.0,3.0,2001.5,0.5,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2003.0, ""y"": 3.0}, {""x"": 2004.0, ""y"": 3.0}]}",1.16,0,17,6,0,4000.0,2000.0,3.33,2001.33,0.4,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2002.0, ""y"": 1.0}, {""x"": 2003.0, ""y"": 3.0}, {""x"": 2004.0, ""y"": 3.0}]}",1.22,0,17,7,0,6000.0,2000.0,3.33,2001.0,0.33,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2002.0, ""y"": 2.0}, {""x"": 2003.0, ""y"": 3.0}, {""x"": 2004.0, ""y"": 3.0}]}",1.26,0,17,8,0,8000.0,2000.0,3.33,2000.67,0.27,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2002.0, ""y"": 2.0}, {""x"": 2003.0, ""y"": 3.0}, {""x"": 2004.0, ""y"": 4.0}]}",1.31,0,17,9,0,10000.0,2000.0,3.0,2000.5,0.22,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2002.0, ""y"": 2.0}, {""x"": 2003.0, ""y"": 3.0}, {""x"": 2004.0, ""y"": 5.0}]}",1.35,0,17,10,0,12000.0,2000.0,3.0,2000.5,0.17,,0.0,0.0,0.0,0.0
BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}, {""x"": 1997.0, ""y"": 4.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": [{""x"": 2002.0, ""y"": 2.0}, {""x"": 2003.0, ""y"": 4.0}, {""x"": 2004.0, ""y"": 5.0}]}",1.39,0,17,11,0,14000.0,2000.0,3.0,2000.5,0.12,,0.0,0.0,0.0,0.0
